id,name,seatscale
FC000175,(재)영화의전당,4877
FC000877,3.15아트센터,1747
FC000420,5.18기념문화센터,1087
FC001909,63컨벤션센터,2000
FC003496,CGV [계양],1257
FC003498,CGV [대구],1528
FC003548,CGV [용산],3890
FC003499,CGV 대전,1880
FC003500,CGV 울산삼산,2487
FC003501,CGV 원주,1947
FC001338,CJB미디어센터,1006
FC001981,ICC제주국제컨벤션센터,4650
FC001589,KBS스포츠월드(아레나),2222
FC000380,KBS홀,1661
FC001074,KBS홀 [부산],2847
FC001261,KBS홀 [울산],1804
FC001594,KBS홀 [창원],1807
FC001409,KT&G 상상마당 [춘천],1700
FC003045,LG아트센터 서울,1700
FC003293,SETEC,1000
FC002945,가톨릭관동대학교,6017
FC002564,가톨릭대학교 [성심교정],1240
FC003226,강남대학교,1020
FC001685,강동문화복지회관,1217
FC000028,강동아트센터,3240
FC001930,강릉 아이스아레나,12000
FC003164,강릉 올림픽파크,8000
FC001787,강릉아트센터(구. 강릉문화예술관),1607
FC001349,강릉원주대학교 해람문화관,1076
FC002268,강릉종합경기장,22333
FC003002,강릉하키센터,10000
FC002604,강서체육공원,2612
FC000521,강원대학교 백령아트센터,1600
FC003533,강원세계산림엑스포행사장,1947
FC000208,강화문예회관,1509
FC000878,거제문화예술회관,1933
FC001436,거창 수승대,2900
FC002396,건양대학교,1200
FC000106,경기광주문예회관,1950
FC000017,경기아트센터(구. 경기도문화의전당),2632
FC001363,경북대학교,1837
FC003120,경산생활체육공원,12300
FC001701,경상남도문화예술회관,1528
FC002324,경상대학교 GNU 국제문화회관,1046
FC002726,경상북도교육청문화원,1146
FC001081,경주세계문화엑스포,2374
FC000517,경주예술의전당,2284
FC002377,경주화백컨벤션센터,3500
FC003223,경찰인재개발원,2251
FC000198,경향아트힐,1652
FC002250,경희대학교,1834
FC001291,경희대학교 평화의전당,4500
FC001239,계명아트센터,1954
FC001908,고려대학교 화정체육관,8057
FC002809,고성종합체육관,1258
FC000127,고양아람누리,4640
FC000819,고양어울림누리,2156
FC003577,고양종합운동장,51459
FC002341,고양체육관,6216
FC003797,고창 군립체육관,1524
FC001901,고척스카이돔,16744
FC001818,공감센터,1024
FC002235,공덕교회,1000
FC002154,과천 서울대공원,10000
FC000808,과천시민회관,1309
FC001370,광림아트센터,1619
FC003166,광양공설운동장,7980
FC002118,광운대학교 동해문화예술관,2432
FC002904,광주광역시 교육연수원,1000
FC002736,광주광역시청,2000
FC001899,광주여자대학교,8337
FC002602,광주염주실내체육관,6862
FC002079,광주월드컵경기장,44118
FC000002,구. LG아트센터,1103
FC003049,구례공설운동장,5000
FC001196,구리아트홀,1030
FC000518,구미시문화예술회관,2166
FC001649,국기원,3000
FC003605,국립4·19민주묘지,1000
FC000009,국립국악원,2319
FC000003,국립극장,2432
FC001270,국립아시아문화전당,4024
FC002724,국립춘천박물관,1200
FC003315,국제자동차경주장,16138
FC001948,군산새만금컨벤션센터(GSCO),2500
FC000447,군산예술의전당,1650
FC001167,군포문화예술회관,1570
FC000839,그랜드 워커힐 서울(비스타 워커힐 서울),1420
FC002296,그랜드 인터컨티넨탈 서울 파르나스,1160
FC002275,그랜드 프라자 호텔 [청주],1000
FC000160,금정문화회관,1574
FC001918,김대중컨벤션센터,3000
FC003929,김천 실내체육관,5503
FC001108,김천시문화예술회관,1428
FC002568,김해가야테마파크 철광산공연장,1548
FC001170,김해문화의전당,2504
FC002664,김해운동장,2210
FC001941,남동아시아드,4968
FC002315,남서울대학교 성암문화체육관,5500
FC002203,남양주체육문화센터,1170
FC000110,남한산성아트홀,1308
FC002122,노들섬,1072
FC001515,누리마공연장,2024
FC000183,달서아트센터 (구. 웃는얼굴아트센터),1667
FC000424,당진문예의전당,1401
FC003157,당진실내체육관,2000
FC000191,대구문화예술회관,2327
FC001577,대구보건대 인당아트홀,1139
FC001965,대구스타디움,68922
FC000566,대구오페라하우스,1580
FC001193,대구콘서트하우스,2192
FC000282,대구학생문화센터,1528
FC002138,대전 엑스포다리 일원(한밭수목원),206255
FC001415,대전시립연정국악원,1088
