name,theater,start_date,end_date,matched_theater,exact_match,similarity_score
슈퍼 고양이 푸스 [군포],군포문화예술회관,2024.07.18,2024.07.18,군포문화예술회관,true,100
스텝: 춤추는 발자국,명보아트홀,2024.04.22,2024.12.31,명보아트홀,true,100
"3DIVA 콘서트: 정선아, 차지연, 홍지민 [함양]",함양문화예술회관,2024.07.18,2024.07.18,양주문화예술회관,false,88
신 홍길동전 [성남],성남아트센터,2024.07.18,2024.07.21,성남아트센터,true,100
뽀로로와 친구들의 드림콘서트: 잃어버린 꿈을 찾아서 [안산],안산문화예술의전당,2024.07.13,2024.07.14,안산문화예술의전당,true,100
Behind the Moon 쇼케이스,충무아트센터,2024.07.20,2024.07.22,충무아트센터,true,100
신데렐라 [당진],당진문예의전당,2024.07.20,2024.07.20,당진문예의전당,true,100
뽀로로와 친구들의 드림콘서트: 잃어버린 꿈을 찾아서 [수원],경기아트센터(구. 경기도문화의전당),2024.07.06,2024.07.07,경기아트센터(구. 경기도문화의전당),true,100
피터팬 [부천],현대백화점 문화홀 [중동],2024.07.13,2024.07.14,현대백화점 문화홀 [대구],false,86
영화 애수를 사랑한 젊은이,국립극장,2024.06.26,2024.06.26,국립극장,true,100
고릴라 [서울 성북],현대백화점 문화홀 [미아],2024.07.20,2024.07.28,현대백화점 문화홀 [대구],false,86
알사탕 [포천],포천반월아트홀,2024.07.20,2024.07.20,포천반월아트홀,true,100
NEW 달을 품은 슈퍼맨 [청송],청송군문화예술회관,2024.07.11,2024.07.11,군포문화예술회관,false,82
장영실과 함께하는 별별 GPT [여수],예울마루,2024.07.19,2024.07.20,예울마루,true,100
옥주현 with Friends 뮤지컬 콘서트 [수원],경기아트센터(구. 경기도문화의전당),2024.07.17,2024.07.17,경기아트센터(구. 경기도문화의전당),true,100
"크라잉넛의 주크박스, 알랑가모르겄쑈",한양대학교 예술극장,2024.07.18,2024.07.21,한양대학교 노천극장,false,80
신비아파트 시즌6: 붉은 눈의 저주 [문경],문경문화예술회관,2024.06.29,2024.06.29,문경문화예술회관,true,100
반짝반짝 페리오 [영덕],예주문화예술회관,2024.07.19,2024.07.19,양주문화예술회관,false,88
알라딘과 요술램프 [서울 은평],은평문화예술회관,2024.07.09,2024.07.09,은평문화예술회관,true,100
인피니티 플라잉 (INFINITY FLYING) [경주],경주세계문화엑스포,2024.06.13,2024.08.31,경주세계문화엑스포,true,100
누가 내 머리에 똥 쌌어? [삼척],삼척문화예술회관,2024.07.13,2024.07.13,삼척문화예술회관,true,100
"두들팝 Ver.2, 폴리팝 [안성]",안성맞춤아트홀,2024.07.12,2024.07.13,안성맞춤아트홀,true,100
숲으로간 이그니스 마법학교 친구들 [제주],서귀포예술의전당,2024.07.13,2024.07.13,서귀포예술의전당,true,100
어린이 캣 [화성],화성아트홀,2024.07.13,2024.07.13,성산아트홀,false,80
인어공주 [부산 동래],동래문화회관,2024.07.07,2024.07.07,동래문화회관,true,100
"제18회 DIMF 공식초청작, 진격의 거인",대구문화예술회관,2024.06.28,2024.06.30,대구문화예술회관,true,100
목 짧은 기린 지피 [광주],예술의 전당 [광주] (구. 광주문화예술회관),2024.07.04,2024.07.04,예술의 전당 [광주] (구. 광주문화예술회관),true,100
구구 [김해],김해문화의전당,2024.07.06,2024.07.07,김해문화의전당,true,100
"제15회 대한민국 국공립극단 페스티벌, 가객 박인환 [경주]",경주예술의전당,2024.06.30,2024.06.30,경주예술의전당,true,100
시몬베드로,도림교회,2024.06.18,2024.07.16,도림교회,true,100
노트르담 드 파리 [안성],안성맞춤아트홀,2024.07.05,2024.07.06,안성맞춤아트홀,true,100
피터팬 [고양],현대백화점 문화홀 [킨텍스],2024.07.05,2024.07.07,현대백화점 문화홀 [대구],false,83
번개맨: 전설의 시작 [구미],구미시문화예술회관,2024.07.20,2024.07.21,구미시문화예술회관,true,100
디어 에반 핸슨 (Dear Evan Hansen) [부산],드림씨어터 [부산],2024.07.04,2024.07.21,드림씨어터 [부산],true,100
사의찬미 [대학로],링크아트센터,2024.07.02,2024.09.22,디큐브링크아트센터,false,80
캐치! 티니핑: 두근두근 싱어롱 콘서트! [제주],한라아트홀,2024.07.20,2024.07.21,한라아트홀,true,100
드리머스 [대구],대구학생문화센터,2024.07.06,2024.07.06,대구학생문화센터,true,100
고군산군도 선유도령 & 장자아씨 [군산],군산예술의전당,2024.07.11,2024.07.11,군산예술의전당,true,100
써니텐 [문경],문경문화예술회관,2024.06.14,2024.06.15,문경문화예술회관,true,100
깃털피리 [영주],영주문화예술회관,2024.06.22,2024.06.22,양주문화예술회관,false,88
정글북 [안동],안동시청 대동관(구. 안동시민회관),2024.07.21,2024.07.21,안동시청 대동관(구. 안동시민회관),true,100
인어공주 [대전],대전평송청소년문화센터,2024.07.20,2024.07.20,대전평송청소년문화센터,true,100
"예술의 전당 어린이 가족 페스티벌, 네모의 세상",예술의전당 [서울],2024.07.12,2024.07.21,예술의전당 [서울],true,100
베르사유의 장미,충무아트센터,2024.07.16,2024.10.13,충무아트센터,true,100
부산포 해전과 이순신의 바다 [부산],동래문화회관,2024.06.27,2024.06.28,동래문화회관,true,100
인피니티 플라잉 [인천],계양문화회관,2024.06.28,2024.06.29,양천문화회관,false,83
바다탐험대 옥토넛 시즌3: 바다넘어 육지까지 [전주],한국소리문화의전당,2024.07.13,2024.07.14,한국소리문화의전당,true,100
"제18회 DIMF 폐막작, 비천 [대구]",아양아트센터,2024.07.06,2024.07.07,아양아트센터,true,100
"제18회 DIMF 공식초청작, 미싱링크 [대구]",대구문화예술회관,2024.07.03,2024.07.07,대구문화예술회관,true,100
"제18회 DIMF 공식초청작, 애프터 라이프 [대구]",봉산문화회관,2024.07.05,2024.07.07,부산문화회관,false,83
"제18회 DIMF 폐막작, 싱잉 인 더 레인",대구오페라하우스,2024.07.04,2024.07.06,대구오페라하우스,true,100
