Musical Name,Theater Name,Article Title,Publication Date,Article URL,Score,Paragraph 1,Paragraph 2,Paragraph 3,Paragraph 4,Paragraph 5,Paragraph 6,Paragraph 7,Paragraph 8,Paragraph 9,Paragraph 10,Paragraph 11,Paragraph 12,Paragraph 13,Paragraph 14,Paragraph 15,Paragraph 16,Paragraph 17,Paragraph 18,Paragraph 19,Paragraph 20,Paragraph 21,Paragraph 22,Paragraph 23,Paragraph 24,Paragraph 25,Paragraph 26,Paragraph 27,Paragraph 28,Paragraph 29,Paragraph 30,Paragraph 31,Paragraph 32,Paragraph 33,Paragraph 34,Paragraph 35,Paragraph 36,Paragraph 37,Paragraph 38,Paragraph 39,Paragraph 40,Paragraph 41,Paragraph 42,Paragraph 43,Paragraph 44,Paragraph 45,Paragraph 46,Paragraph 47,Paragraph 48,Paragraph 49,Paragraph 50,Paragraph 51,Paragraph 52,Paragraph 53,Paragraph 54,Paragraph 55,Paragraph 56,Paragraph 57,Paragraph 58,Paragraph 59,Paragraph 60,Paragraph 61,Paragraph 62,Paragraph 63,Paragraph 64,Paragraph 65,Paragraph 66,Paragraph 67,Paragraph 68,Paragraph 69,Paragraph 70,Paragraph 71,Paragraph 72,Paragraph 73,Paragraph 74,Paragraph 75,Paragraph 76,Paragraph 77,Paragraph 78,Paragraph 79,Paragraph 80,Paragraph 81,Paragraph 82,Paragraph 83,Paragraph 84,Paragraph 85,Paragraph 86,Paragraph 87,Paragraph 88,Paragraph 89,Paragraph 90,Paragraph 91,Paragraph 92,Paragraph 93,Paragraph 94,Paragraph 95,Paragraph 96,Paragraph 97,Paragraph 98,Paragraph 99,Paragraph 100,Paragraph 101,Paragraph 102,Paragraph 103,Paragraph 104,Paragraph 105,Paragraph 106,Paragraph 107,Paragraph 108,Paragraph 109,Paragraph 110,Paragraph 111,Paragraph 112,Paragraph 113,Paragraph 114,Paragraph 115,Paragraph 116,Paragraph 117,Paragraph 118,Paragraph 119,Paragraph 120,Paragraph 121,Paragraph 122,Paragraph 123,Paragraph 124,Paragraph 125,Paragraph 126,Paragraph 127
프랑켄슈타인,블루스퀘어,"'프랑켄슈타인', 끝없는 이기심을 보여준 인간의 최후[TF리뷰]","Fri, 19 Jul 2024 00:01:00 +0900",https://m.entertain.naver.com/article/629/0000305794,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
프랑켄슈타인,블루스퀘어,"아무나 못 하는 10주년, 그걸 해낸 ‘프랑켄슈타인’","Thu, 18 Jul 2024 23:33:00 +0900",https://n.news.naver.com/mnews/article/081/0003466006?sid=103,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
프랑켄슈타인,블루스퀘어,"뮤지컬 '프랑켄슈타인', 창작 뮤지컬 역사 쓰나","Thu, 18 Jul 2024 09:10:00 +0900",http://www.newsworker.co.kr/news/articleView.html?idxno=340187,10,"뮤지컬 '프랑켄슈타인'이 흥행 가도를 달리며 창작 뮤지컬의 새로운 역사를 써 내려가고 있다. 지난 6월 5일 서울 블루스퀘어 신한카드홀에서 다섯 번째 시즌을 개막한 '프랑켄슈타인'은 티켓 오픈과 동시에 높은 예매율을 기록하며 성황리에 공연 중이다. 특히 16일 마지막 티켓 오픈에서도 예매율 1위를 지키며 '프랑켄슈타인' 신드롬을 이어가고 있다. 이번 10주년 기념 공연은 오직 서울에서만 진행되며, 남은 공연도 얼마 남지 않아 더욱 뜨거운 반응을 얻고 있다.","'프랑켄슈타인'은 1818년 출간된 메리 셸리의 동명 소설을 각색한 작품으로, 신이 되려 했던 인간과 인간을 동경했던 피조물, 두 남자의 이야기를 통해 인간의 이기심과 생명의 본질을 재고하게 만드는 작품이다. 탄탄한 서사와 풍성한 음악, 주요 인물 모두가 1인 2역을 맡아 배우들의 인생 캐릭터를 탄생시키는 것으로 유명하다.","2014년 초연된 '프랑켄슈타인'은 소재의 참신한 재구성과 강렬한 무대, 실력파 배우들의 열연으로 한국 뮤지컬계에 신선한 충격을 안겼다. 이는 곧 흥행으로 이어졌고, 제8회 '더 뮤지컬 어워즈'에서 9개 부문을 수상하며 작품성과 흥행성을 동시에 인정받았다. 이후 2015년, 2018년, 2021년 관객들을 만났고, 단일 시즌 최대 매출 기록을 경신했다.","특히, '프랑켄슈타인'은 대한민국 창작 뮤지컬 최초로 대극장 라이선스 해외 진출과 전석 매진 기록을 세우며 대표 흥행작으로 자리 잡았다. 올해 10주년을 맞아 다섯 번째 시즌으로 돌아온 '프랑켄슈타인'은 EMK의 제작 노하우와 만나 한층 높은 완성도를 자랑하며, 새로운 시각과 접근을 통해 더욱 심혈을 기울인 모습을 보여주고 있다.","매 시즌 화려한 캐스팅으로 화제를 불러일으킨 '프랑켄슈타인'은 이번 시즌에도 유준상, 신성록, 규현, 전동석, 박은태, 카이, 이해준, 고은성 등 실력파 배우들이 출연해 1인 2역의 독보적인 캐릭터 표현력과 열연을 펼치며 작품의 메시지를 더욱 돋보이게 하고 있다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
프랑켄슈타인,블루스퀘어,"뮤지컬 ‘프랑켄슈타인’, 10주년 예매율도 가속 페달","Wed, 17 Jul 2024 20:11:00 +0900",https://m.entertain.naver.com/article/396/0000682983,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
프랑켄슈타인,블루스퀘어,10주년 '프랑켄슈타인' 다시 터진 신드롬,"Wed, 17 Jul 2024 15:13:00 +0900",https://m.entertain.naver.com/article/437/0000401947,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
프랑켄슈타인,블루스퀘어,"뮤지컬 ‘프랑켄슈타인’, 창작 뮤지컬 흥행 신화 다시 썼다…예매율 1위 이어...","Wed, 17 Jul 2024 15:00:00 +0900",http://www.globalepic.co.kr/view.php?ud=202407170853067355d3244b4fed_29,10,승인 2024-07-17 15:00:00,"제호 : 글로벌에픽(GLOBAL EPIC) | 등록번호 : 서울, 아04629 | 등록연월일: 2017. 07. 25 | 발행연월일: 2017. 10. 30
                        대표이사 : 진병두 | 발행인 : 이문우 | 편집인 : 안재후 | 청소년보호책임자 : 이성수 | 사무실 번호 : 070-4447-2555 | 이메일 : epic@globalepic.co.kr
					서울특별시 영등포구 국제금융로6길 33, 919호 비894(여의도동, 맨하탄빌딩)
					글로벌에픽 모든 콘텐츠(영상,기사, 사진)는 저작권법의 보호를 받은바, 무단 전재와 복사, 배포 등을 금합니다.
					Copyright © 2014 글로벌에픽. All rights reserved. mail to epic@globalepic.co.kr",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
프랑켄슈타인,블루스퀘어,"창작 뮤지컬 '프랑켄슈타인', 예매율 1위...10주년 기념 시즌 티켓 오픈과 동...","Wed, 17 Jul 2024 10:30:00 +0900",https://www.mhns.co.kr/news/articleView.html?idxno=615235,10,[문화뉴스 김수민 기자] 뮤지컬 ‘프랑켄슈타인’이 흥행 가도를 달리며 창작 뮤지컬 흥행의 신화를  써 내려가고 있다.,지난 6월 5일 서울 블루스퀘어 신한카드홀에서 다섯 번째 시즌을 개막한 뮤지컬 ‘프랑켄슈타인’은 높은 티켓 오픈 성적을 기록하며 공연 중이다. 지난 16일 진행된 마지막 티켓 오픈에서도 예매율 1위의 자리를 굳건히 지킨 '프랑켄슈타인’의 일부 회차는 티켓 오픈과 함께 매진됐다.,"뮤지컬 ‘프랑켄슈타인’은 1818년 출간된 메리 셸리의 동명 소설을 각색한 작품으로, 신이 되려 했던 인간과 인간을 동경했던 피조물, 두 남자의 이야기를 통해 인간의 이기심과 생명의 본질을 재고하는 작품이다. 탄탄한 서사, 풍성한 음악과 주요 인물 모두가 1인 2역을 맡은 것으로 유명하다.","지난 2014년 초연된 뮤지컬 ‘프랑켄슈타인’은 제8회 ‘더 뮤지컬 어워즈’에서 총 9개 부문을 수상하며 작품성을 인정받았고, 2015년, 2018년, 2021년 관객들을 만나며 개막 10주 만에 매출액 100억 원을 돌파하며 단일 시즌 최대 매출 기록을 경신했다.","또한, 대한민국 창작 뮤지컬 최초 대극장 라이선스 해외 진출과 더불어 해외 공연 전석 매진을 기록하는 등의 기록을 세우며 대한민국 창작 뮤지컬의 대표 흥행작으로 자리 잡았다.","‘프랑켄슈타인’은 이번 시즌에 대해 ""EMK의 제작 노하우와 만나 한층 높은 완성도를 자랑한다""며, ""대한민국 뮤지컬계를 대표하는 왕용범 연출과 이성준 음악감독 콤비의 탄탄한 서사와 풍성한 음악으로 관객들의 사랑을 받아온 작품은 이번 시즌 10주년 기념 공연을 맞이한 만큼 새로운 시각과 접근을 통해 작품 전반에 걸쳐 더욱 심혈을 기울인 모습으로 관객들에게 새로운 감정을 전달했다""고 전했다.","이어 ""마지막 티켓 오픈에서도 예매율 1위를 유지한 뮤지컬 '프랑켄슈타인'은 작품성 뿐만 아니라 흥행성에서도 뒤처지지 않는 창작 뮤지컬 최대 흥행작으로서의 면모를 굳혔다""고 덧붙였다.","캐스팅 라인업에는 배우 유준상, 신성록, 규현, 전동석, 박은태, 카이, 이해준, 고은성을 비롯 선민, 이지혜, 최지혜, 전수미, 장은아, 김지우, 이희정, 문성혁, 김대종, 신재희 등 탄탄한 실력의 배우들이 이름을 올려 1인 2역의 캐릭터를 표현하며 열연을 펼칠 예정이다.","한편, 뮤지컬 ‘프랑켄슈타인’ 10주년 기념 공연은 오는 8월 25일까지 서울 블루스퀘어 신한카드홀에서 공연된다.",문화뉴스 / 김수민 기자 press@mhns.co.kr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
프랑켄슈타인,블루스퀘어,유준상·신성록·규현·전동석 ‘프랑켄슈타인’ 예매율 1위,"Wed, 17 Jul 2024 10:29:00 +0900",https://n.news.naver.com/mnews/article/003/0012671086?sid=103,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
프랑켄슈타인,블루스퀘어,"뮤지컬 '프랑켄슈타인', 다시 써 내려가는 창작 뮤지컬 흥행 신화","Wed, 17 Jul 2024 09:02:00 +0900",https://www.stardailynews.co.kr/news/articleView.html?idxno=454507,10,[스타데일리뉴스=조수현 기자] 뮤지컬 ‘프랑켄슈타인’이 흥행 가도를 달리며 창작 뮤지컬 흥행의 신화를 다시 써 내려가고 있다.,"지난 6월 5일 서울 블루스퀘어 신한카드홀에서 다섯 번째 시즌을 개막한 뮤지컬 ‘프랑켄슈타인’이 높은 티켓 오픈 성적을 기록하며 성황리에 공연 중인 가운데, 예매율 1위를 이어가며 창작 뮤지컬의 흥행 신화를 다시 쓰고 있다. 16일 진행된 마지막 티켓 오픈에서도 예매율 1위의 자리를 굳건히 지킨 뮤지컬 '프랑켄슈타인'이 다시 한번 ‘프랑켄슈타인’ 신드롬을 불러일으키며 관객들에게 사랑받고 있는 것. 일부 회차는 티켓 오픈과 함께 매진됐으며, 특히 이번 10주년 기념 공연은 오직 서울에서만 공연되고 남은 공연이 얼마 남지 않은 만큼, 압도적인 흥행이 이어지고 있다.","뮤지컬 ‘프랑켄슈타인’은 1818년 출간된 메리 셸리의 동명 소설을 각색한 작품으로, 신이 되려 했던 인간과 인간을 동경했던 피조물, 두 남자의 이야기를 통해 인간의 이기심과 생명의 본질을 재고하게 만들며 호평을 얻은 작품이다. 탄탄한 서사와 풍성한 음악은 물론 중 주요 인물 모두가 1인 2역을 맡아 배우들의 인생 캐릭터를 탄생시키는 것으로 유명하다.","지난 2014년 초연된 뮤지컬 ‘프랑켄슈타인’은 초연 당시 소재의 참신한 재구성과 강렬한 무대, 실력파 배우들의 열연으로 한국 뮤지컬계에 신선한 충격을 선사했다. 이는 곧 흥행으로 이어졌고, 한국 창작 뮤지컬의 흥행 신화를 쓰며 화려한 포문을 열었다. 이에 제8회 ‘더 뮤지컬 어워즈’에서 총 9개 부문을 수상하며 작품성과 흥행성을 동시에 인정받은 ‘프랑켄슈타인’은 돌풍에 걸맞게 2015년, 2018년, 2021년 관객들을 만났고, 개막 10주 만에 매출액 100억 원을 돌파하며 단일 시즌 최대 매출 기록을 경신했다.",뿐만 아니라 뮤지컬 ‘프랑켄슈타인’은 대한민국 창작 뮤지컬 최초 대극장 라이선스 해외 진출과 더불어 해외 공연 전석 매진을 기록하는 등의 기록을 세우며 대한민국 창작 뮤지컬의 대표 흥행작으로 자리 잡았다. 이에 올해 기념비적인 10주년을 맞이해 다섯 번째 시즌으로 돌아오며 관객들의 큰 환영을 받았다.,매 시즌 압도적인 흥행 기록을 세우며 대한민국 창작 뮤지컬의 대표 흥행 대작으로 극찬받은 뮤지컬 ‘프랑켄슈타인’은 EMK의 제작 노하우와 만나 한층 높은 완성도를 자랑했다. 대한민국 뮤지컬계를 대표하는 왕용범 연출과 이성준 음악감독 콤비의 탄탄한 서사와 풍성한 음악으로 관객들의 사랑을 받아온 작품은 이번 시즌 10주년 기념 공연을 맞이한 만큼 새로운 시각과 접근을 통해 작품 전반에 걸쳐 더욱 심혈을 기울인 모습으로 관객들에게 새로운 감정을 전달했다.,"이에 뮤지컬 ‘프랑켄슈타인’은 전통과 혁신이 어우러진 재해석은 물론 창작 뮤지컬의 가능성을 넓히는 꾸준한 발전으로 다섯 번째 시즌을 화려하게 소화해 매번 티켓 오픈과 동시에 예매율 1위를 기록했고, 이후에도 계속해서 예매율 1위를 유지하며 성적으로 그 위엄을 입증했다. 마지막 티켓 오픈에서도 예매율 1위를 유지한 뮤지컬 '프랑켄슈타인'은 작품성 뿐만 아니라 흥행성에서도 뒤처지지 않는 창작 뮤지컬 최대 흥행작으로서의 면모를 굳혔다.","개막 전부터 화려한 캐스팅으로 매 시즌 화제를 불러일으킨 만큼 이번 시즌 배우들의 열연도 흥행에 가속 페달을 밟고 있다. 배우 유준상, 신성록, 규현, 전동석, 박은태, 카이, 이해준, 고은성을 비롯 선민, 이지혜, 최지혜, 전수미, 장은아, 김지우, 이희정, 문성혁, 김대종, 신재희 등 탄탄한 실력의 배우들이 1인 2역으로 독보적인 캐릭터 표현력과 열연을 펼치며 인생 캐릭터를 탄생시켜, 작품이 전하고자 하는 메시지를 더욱 돋보이게 하고 있다.",기존의 작품성을 유지하면서도 새로운 시도로 창작 뮤지컬의 가능성을 넓힌 뮤지컬 ‘프랑켄슈타인’. 무서운 흥행 질주로 호평을 얻고 있는 작품의 이후 행보에도 기대가 모아지고 있다.,"한편, 뮤지컬 ‘프랑켄슈타인’ 10주년 기념 공연은 8월 25일까지 서울 블루스퀘어 신한카드홀에서 공연된다.","기사제보 및 보도자료 news@stardailynews.co.kr
	copyrightⓒ스타데일리뉴스.무단 전재 & 재배포 금지
	스타데일리뉴스 사진 영상 외 [기사콘텐츠 구매] 바로가기
	스마트 폰에서 만나는 스타데일리뉴스 [모바일 페이지] 바로가기",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
프랑켄슈타인,블루스퀘어,뮤지컬 ‘프랑켄슈타인’ 예매율 1위 지키며 흥행,"Wed, 17 Jul 2024 08:57:00 +0900",https://n.news.naver.com/mnews/article/468/0001077636?sid=103,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
